-4.0465,40.393,-2.9103,-14.811,6.4896,1.2837,0.1004,-4.1982,1.3313,2.3196,-1.205,-3.0132,1.1402,0.4752,0.076178,-2.3248,0.79177,0.37634,0.11858,-2.264,0.95113,0.57423,0.41356,-1.2251,0.7194,-0.36627,1.1297,-2.8013,1.7719,-1.3601,3.8768,-5.4926,1
-4.0648,40.321,-2.9251,-14.796,6.4634,1.3235,0.088616,-4.1928,1.3425,2.2924,-1.1897,-3.0381,1.1148,0.44341,0.065167,-2.3047,0.81121,0.37274,0.10931,-2.2628,0.93545,0.56851,0.40951,-1.2365,0.74215,-0.40294,1.1598,-2.8194,1.7353,-1.3695,3.8523,-5.4935,1
-4.2596,40.487,-2.9259,-14.851,6.4652,1.3373,0.073547,-4.1964,1.3829,2.2821,-1.2088,-3.0528,1.1544,0.44991,0.06152,-2.3214,0.82814,0.36632,0.12802,-2.2599,0.9336,0.51938,0.4148,-1.2338,0.76873,-0.45921,1.1826,-2.8394,1.7485,-1.4193,3.9718,-5.6235,1
-4.2214,40.475,-2.9289,-14.852,6.4789,1.3249,0.074228,-4.2082,1.3594,2.2854,-1.2111,-3.0511,1.144,0.43514,0.064659,-2.3123,0.82183,0.3569,0.10956,-2.2643,0.94532,0.51987,0.40865,-1.2387,0.76225,-0.43021,1.1832,-2.8277,1.7571,-1.4205,3.9711,-5.6191,1
-4.3815,40.637,-2.9493,-14.932,6.491,1.3554,0.051681,-4.2603,1.3424,2.2999,-1.209,-3.0704,1.1478,0.43603,0.064968,-2.3195,0.82627,0.36675,0.11199,-2.2687,0.94335,0.51237,0.40915,-1.263,0.74592,-0.44574,1.1875,-2.8361,1.744,-1.4406,4.0226,-5.6494,1
-4.244,40.485,-2.9168,-14.861,6.4442,1.3511,0.045972,-4.221,1.3411,2.2637,-1.2072,-3.082,1.1327,0.43594,0.065002,-2.3061,0.81787,0.37555,0.10277,-2.2618,0.91832,0.52147,0.39903,-1.2551,0.77245,-0.45535,1.1661,-2.8356,1.7401,-1.3767,3.8999,-5.5922,1
-4.265,40.541,-2.9408,-14.872,6.4762,1.3351,0.064557,-4.2432,1.3672,2.2826,-1.2184,-3.0544,1.1358,0.46416,0.063056,-2.3293,0.82512,0.34712,0.12978,-2.2816,0.92663,0.52458,0.40663,-1.2274,0.74913,-0.45383,1.187,-2.8403,1.7592,-1.4324,3.9817,-5.6264,1
-4.1763,40.517,-2.9386,-14.863,6.4866,1.3204,0.065194,-4.2378,1.3571,2.3068,-1.2207,-3.0601,1.1447,0.46682,0.076427,-2.3292,0.81251,0.37602,0.13137,-2.277,0.92262,0.52356,0.42098,-1.2343,0.72599,-0.43813,1.1749,-2.8226,1.7596,-1.4265,3.96,-5.5908,1
-4.1687,40.43,-2.9223,-14.824,6.4569,1.2944,0.043054,-4.2364,1.3453,2.3056,-1.2236,-3.0675,1.1212,0.467,0.082878,-2.329,0.79129,0.38537,0.1209,-2.277,0.91687,0.53049,0.39803,-1.2339,0.73431,-0.41876,1.1371,-2.8228,1.7723,-1.3584,3.8614,-5.5365,1
-4.1618,40.439,-2.9291,-14.834,6.4638,1.3116,0.016713,-4.2333,1.3539,2.2879,-1.2355,-3.0963,1.1394,0.45038,0.08347,-2.3451,0.77248,0.39032,0.11864,-2.2727,0.9146,0.50893,0.42647,-1.2337,0.74985,-0.46325,1.1613,-2.812,1.7654,-1.3855,3.9124,-5.5869,1
